,ENSG,N/A,adipose,bladder,brain,cervix,intestine,esophagus,heart,kidney,liver,lung,ovary,placenta,prostate,muscle,spleen,male rep.,thymus,thyroid,eye,lymph,immune cell,bone,pharynx,breast,endothelium,umbilical,skin,connective tissue,epithelium,pancreas,blood vessel,blood,uterus,bile duct,stomach,cartilage,ear,tongue,endocrine,pituitary,appendix,vagina
0,ENSG00000102243.13,-0.11395846543708338,-0.15059641381809097,0.5810046947484993,0.0884936771724966,0.11433439175866525,1.0308403063415452,0.34453786806696013,0.15210552656741183,0.02799814316261262,-0.08030870488713981,-0.006465786326190881,-0.1017707063100115,1.2046379498061777,-0.036562620544513647,-0.12879777924125546,1.3315576058606264,0.015040426231457238,0.7711959541458969,0.3955049658961799,-0.17266863838572044,0.7173315226918868,0.7699225591922775,0.12892139084413842,0.05277827392730439,-0.14178162152120616,-0.09447274573871223,-0.19280405614685042,-0.009091989118554411,-0.25197456049255834,-0.04516142849323934,-0.2529451071744255,-0.1836036458828098,0.7636727340274243,0.3495252164446663,0.056809481155181696,-0.12948185699998505,-0.06837252314041009,0.7116518118286245,1.259890152101818,-0.10389693440223463,0.3791097327522547,1.1816315060006595,-0.36496802191098815
1,ENSG00000102245.9,-0.2569488322232806,-0.2267586916528378,-0.13026388478337414,-0.1678234408968209,-0.289171192414986,-0.28538445297319526,0.11141051179652639,-0.2672614937372257,-0.2370790409228652,-0.24173456870555088,-0.27280734648321703,-0.21631044181866038,-0.2710914409319353,-0.27770388670022783,-0.19064286264888478,0.8977182337016468,-0.24525823931860535,1.4647410300473165,-0.24947449507701688,-0.2245445123086376,-0.15612179078299743,-0.09917632995554104,-0.23531167415546178,-0.11305304122837256,-0.270138588446876,-0.2569528867868801,-0.23883344485151609,-0.24885518018820174,-0.25334227438350226,-0.24201027799906505,-0.274199707204144,-0.14905073238982383,0.06512184295769424,-0.21580724672711687,-0.17846506147627317,-0.24890533552719124,-0.23275942014432688,-0.34692697719583204,0.058192853421519586,-0.33947132406595754,-0.18299544608319787,1.4019695326034949,-0.3264354354327247
2,ENSG00000135387.21,-0.16775638092688436,-0.16514022140597112,-0.17510985431647152,-0.07494757356266507,-0.23541372092792665,-0.13586623350426055,-0.3556967450407442,-0.22477085891743553,-0.15882973071149808,-0.3305175218925125,-0.1682301348945286,-0.20096155453347714,-0.1372272782855936,-0.15640760052232386,-0.1294395339596634,-0.201241377002646,-0.13130214574689147,-0.13400030136395935,-0.09265813110707646,-0.19449931157994838,-0.20695168518595158,-0.259913878556166,-0.1531371604596074,-0.1681764997341617,-0.14466412196029732,-0.09803546877070923,-0.225788683753404,-0.1316584476989398,-0.13480803488928864,-0.13680210812590926,-0.33284650739026145,-0.34205416460759747,-0.2564461522153376,-0.166608890437571,-0.12972159652230236,-0.08081700112578055,-0.1557374915627874,-0.26554194955272115,-0.18020262884787186,-0.15769908633119167,-0.13525293162700303,-0.37339657497650147,-0.42558128174960663
3,ENSG00000135372.10,-0.18879301401944687,-0.22386840106120337,-0.13230874875532442,-0.16553797076427937,-0.165894747809832,-0.1875169774028848,-0.058867250830369366,-0.20121698697885831,-0.03477298234522125,-0.17972418914394672,-0.2217824185650053,-0.19047187697299617,-0.20611301592385156,-0.12664554316072762,-0.15281216719038526,0.12047374591548854,-0.09453846437551838,-0.062357938454900064,-0.2309237580947396,-0.03207841109416343,0.03600177234693347,-0.1359301158631146,-0.15480608843608204,-0.2287565819553573,-0.07243554772117744,-0.11022017371055881,-0.23587163117358095,-0.1163413169231125,-0.18588262815544868,-0.1867912536559586,-0.32191725686959394,-0.1551467590217729,-0.05330105193635443,-0.13063174950633388,-0.313740836353555,-0.10794445075227166,-0.10408297996492549,-0.1775253760628401,-0.39385369663588954,-0.12747168571980666,-0.19628019850939668,-0.13659601576642055,-0.24191338096574105
4,ENSG00000105397.15,0.00585092581070365,0.1670121344844427,0.0648526838116453,0.013564801909960983,-0.20482107395557816,0.09195329043224218,0.037339812387904736,0.34892787991371244,0.1399082111717086,0.056289240447927796,-0.020774420164519802,0.3137762661513154,0.15118546699292928,0.11361972591397998,0.20368832959100394,0.29953290030017465,0.0015205158200659596,0.16944837136242186,0.19409775313681166,0.08614717629023294,0.1625459148975718,0.30850019290777775,0.0870628926988925,0.08573123297538371,-0.023405898628317157,0.09927279816335333,0.0733104783375868,0.056362441328586255,0.10062105812277788,-0.004244866757448285,-0.057979787597585875,0.3254685901671439,0.35023201527588776,0.20037152018911555,0.3005094743862045,0.0032522666846650505,0.21544871777548336,0.0763495099502158,0.38461273905003857,0.19634947295161895,0.28354907246078587,0.38442467581293516,0.07094482738114516
5,ENSG00000105401.9,-0.33790880799961487,-0.3915724819280761,-0.3809394786188271,-0.33413804260786617,-0.3263976178263871,-0.358737386385496,-0.4528888632757302,-0.3851088743190828,-0.36517123956994935,-0.4548686943542824,-0.36825246341678564,-0.41346783430533746,-0.3828631947735466,-0.31783233693741497,-0.34495511704551507,-0.3850129824552808,-0.3833461170484788,-0.285462710436798,-0.3002612965889838,-0.37817558051519196,-0.35164899809812333,-0.3023312068339009,-0.35587039749393623,-0.36616653723146186,-0.3606646846580071,-0.40501660524349864,-0.4466195928043839,-0.3471630688571483,-0.4047343232088655,-0.38098206923390465,-0.3835742271583551,-0.4073035566205235,-0.33772074285306,-0.34739424863740476,-0.3147410346592543,-0.2518466112029123,-0.40991317225388624,-0.3083597585175231,-0.3417421417284848,-0.25105489789947005,-0.18312572538037744,-0.3385265312656117,-0.4138830659411066
6,ENSG00000065989.16,-0.13930666567787808,-0.34954967171971324,-0.30539032862025534,0.2055181008354185,0.022638101156255086,-0.3057800653797978,0.05480372518542623,-0.33398922511303836,-0.08946425065724134,-0.2644256924415898,-0.1581940244546498,-0.2521746724512729,-0.115579690688422,-0.266437489668057,-0.28409757679413583,-0.38155017995952933,-0.014053041400557964,0.08220875281786616,-0.2927026258129809,-0.14307769861102182,-0.29385914129344226,-0.017237087546992463,-0.21254058208587226,-0.18303403690872477,0.05740398209517045,-0.2552771167077563,-0.19957477176527116,-0.23789290096537408,-0.2740271639946106,-0.093578834827385,0.25542020885077693,-0.340308799861041,0.2042697921134565,-0.2771661788774683,0.20625615854713464,-0.28230296408060285,-0.33746084344065574,0.2823765652375806,-0.356010594510051,0.1875860403031016,-0.26106777288298444,-0.2130508243183968,-0.38581120750775866
7,ENSG00000290292.10,-0.26508701158390846,-0.2558567860972694,-0.2662252670153147,-0.18173225951695451,-0.30481976354147244,-0.288344654903843,-0.04279959147976295,-0.23531501340999467,-0.17209038720363468,-0.31765885743048294,-0.2846145532865315,-0.2810889722009692,-0.36398507433909005,-0.2706043324662482,-0.272663604035427,-0.23697879728126564,-0.07277152160399869,-0.12747408909437036,-0.3172451387817286,-0.30273922714748747,-0.12425283557769445,-0.24322132274616934,-0.2393058100535902,-0.17224285501230086,-0.16391021435678738,-0.3739381833184523,-0.3415276951397712,-0.25935772552923353,-0.1983193519174088,-0.15815791651904,-0.3562662179492088,-0.21712135900234103,-0.06836385230649747,-0.21221213269775036,-0.195163878650704,-0.3188170231846952,-0.24658131027536856,-0.3868289138209531,-0.4873792704359237,-0.24655999352657873,-0.3574108902009494,-0.39505760093385034,-0.24695575888982335
8,ENSG00000235194.9,-0.19999871900453658,-0.17227696548006874,-0.1600781607014501,0.12561055676143712,-0.24093930659026042,-0.18935538506252808,-0.030224495163169662,-0.28373528204605325,-0.13557123441324753,-0.17245414690575994,-0.22552551514400598,-0.15824940762095796,-0.25401148312719357,-0.2347309250387653,-0.152692498735979,-0.0695440636457818,-0.04671848583039234,-0.14006401974462696,-0.16063472925813066,-0.0631020311915445,0.035149492579456876,-0.18960826488615354,-0.24173289590759633,-0.35977444562782757,-0.24663839546278116,-0.16709819540013818,0.02685160408411169,-0.14371512262093977,-0.13564049185298982,-0.20893037900640316,-0.18597549532243285,-0.18947116199122366,-0.1643564551844569,-0.2580070809513294,-0.3506644056901033,-0.16074289307208478,-0.26662076547806524,-0.2856336933611227,-0.2035396041716906,-0.25424927162609845,0.23561727303758712,-0.1004343286217092,-0.011277437777094779
9,ENSG00000129473.11,-0.21418481689913293,-0.054720222803864293,-0.013618326612127446,-0.28379756480093565,-0.2608846181729223,-0.26325057013440917,-0.33955782023611636,0.03365220032464866,-0.2305394892471332,0.047463506090942964,-0.1836913493320648,-0.185982860106702,-0.12166686134809757,-0.2339891240628711,-0.019633963673659577,-0.09897427079715954,-0.08194150243004378,-0.24258530956620733,-0.18735337519105974,0.0529730811926683,0.060458260791188406,-0.29262458351469334,-0.26867964261374416,-0.1318268383036842,-0.24656415666870782,-0.10303139739043177,0.038665034618690475,-0.1104708030111089,-0.06165349137721593,-0.1641900150847445,-0.16542010786664457,-0.038973746257084496,-0.3480524541270519,-0.06292650079120979,-0.17291403768408786,-0.2602499871868991,-0.0014753576367002308,-0.32855923926205854,-0.3854867357345932,-0.1476316828359092,-0.19290234460756256,-0.2522685949872267,-0.02168249055285021
