,ENSG,Cancer,Not Cancer
0,ENSG00000102243.13,-0.27631479160180505,-0.22398759290548192
1,ENSG00000102245.9,-0.3236669369039997,-0.17119969045659522
2,ENSG00000135387.21,-0.17799985747390118,-0.16285615387137342
3,ENSG00000135372.10,-0.18621903493861153,-0.25258740333433827
4,ENSG00000105397.15,0.023938759544848143,0.1364428556229525
5,ENSG00000105401.9,-0.1159904312490233,-0.20146218113750192
6,ENSG00000065989.16,0.09087764867827852,0.06098453010534843
7,ENSG00000290292.10,-0.1559647907027077,-0.18940453954978692
8,ENSG00000235194.9,-0.18465610324920406,-0.18080363126305385
9,ENSG00000129473.11,0.12121203199070535,0.05679778785675127
10,ENSG00000258643.6,0.32382574444789686,0.33636163293144505
11,ENSG00000100836.11,-0.030884261117793466,-0.06157161731436367
12,ENSG00000092096.19,-0.10201965814533831,-0.09378803920307344
13,ENSG00000100842.13,0.14480752913792272,-0.17303600319628398
14,ENSG00000166090.8,-0.36958991330996505,-0.30248423813370123
15,ENSG00000166091.21,-0.1901949940259433,0.10837529936595197
16,ENSG00000197616.13,-0.35147833984253746,-0.26003931198222546
17,ENSG00000003096.15,0.15915519682170082,-0.04330657062017962
18,ENSG00000188729.7,-0.235864313559824,-0.10634397514101879
19,ENSG00000085185.16,0.1715369724109539,0.22111143472541867
20,ENSG00000102034.18,-0.12966932409663484,-0.10765785173366371
21,ENSG00000197406.8,-0.15538579787875345,-0.07876104081096941
22,ENSG00000175556.17,0.8489384264540214,0.7935854174722393
23,ENSG00000145016.17,-0.14741631122220689,-0.20076544883944752
24,ENSG00000122068.13,-0.09901514429685487,-0.15640366501221437
25,ENSG00000186001.14,-0.15641295219902257,-0.1907731307481143
26,ENSG00000124486.15,-0.20907078785350164,-0.2380867034333226
27,ENSG00000182583.13,-0.2621842858410096,-0.25948419196026495
28,ENSG00000163964.18,-0.045632132733388286,-0.20219048020393082
29,ENSG00000174007.9,-0.004057331672603859,-0.059351190139236565
30,ENSG00000180370.10,-0.09016582241663884,-0.19386788406926825
31,ENSG00000173572.12,-0.37796871769851564,-0.30787083699785694
32,ENSG00000179709.8,-0.3724645343186724,-0.3068493358244339
33,ENSG00000171487.16,-0.28548762032695146,-0.2263177751074662
34,ENSG00000129353.15,-0.04023159432462897,0.00369340373983873
35,ENSG00000129351.18,0.17769388339787984,0.19093752159698973
36,ENSG00000213339.9,-0.1245153506104899,-0.09596121470313751
37,ENSG00000174373.17,-0.20896791223920574,-0.19375235509326688
38,ENSG00000151789.13,-0.1585865140063213,-0.062240131267320364
39,ENSG00000126773.13,0.037929239453683705,-0.015219505967442648
40,ENSG00000100612.14,-0.07286983272506914,-0.07474967320238779
41,ENSG00000125676.20,-0.2251049869604077,-0.22965358705274458
42,ENSG00000053254.16,-0.008822009536272435,0.054633229801633765
43,ENSG00000145012.15,-0.15478789207627713,-0.07888756398839103
44,ENSG00000187068.3,0.636877662167259,0.3515567753044712
45,ENSG00000139865.17,-0.11769798770342588,-0.13173780878579822
46,ENSG00000198046.13,0.35999421369738066,-0.10972731144627107
47,ENSG00000196263.8,0.41327429333680604,0.08101307765127397
48,ENSG00000196867.8,0.3352127289830378,0.1451913701602554
49,ENSG00000197016.12,0.0995643956154118,-0.02889034173006505
50,ENSG00000145014.18,0.0912489164764459,0.07078310481871092
51,ENSG00000041802.11,-0.16043276932118622,-0.2109966658613629
52,ENSG00000185112.6,0.05392032402079994,-0.07869023752025578
53,ENSG00000269547.1,-0.2587241147502623,-0.20523398637707813
54,ENSG00000269190.6,0.04930526319794848,-0.1185205019030997
55,ENSG00000161243.10,0.1612559769640719,0.07164582531224023
56,ENSG00000114062.22,-0.06549887417834954,-0.12321003082838611
57,ENSG00000166206.16,0.9575849533849587,0.6412586361879512
58,ENSG00000022556.16,-0.2704866327052767,-0.255211633401453
59,ENSG00000088053.11,-0.2779559543997525,-0.22660203889813402
60,ENSG00000160439.16,-0.1837280246994797,-0.12303681053701193
61,ENSG00000131037.15,-0.05383171110556029,-0.13405465800613026
62,ENSG00000283093.1,-0.13536992993715669,0.01549166365004756
63,ENSG00000223591.5,-0.23089615961387788,-0.10011690689202857
64,ENSG00000189369.9,0.10627149221403137,-0.1380338935681496
65,ENSG00000165694.11,-0.25268695672923513,-0.17927934709209037
66,ENSG00000153879.9,0.31783594787541314,0.2935173202909305
67,ENSG00000124299.16,-0.12340204211680822,-0.05968960546450863
68,ENSG00000072609.18,-0.18891613790044032,-0.228629515723072
69,ENSG00000196458.11,-0.1837836872357917,-0.21766522158295182
70,ENSG00000198393.8,-0.21897096363252047,-0.21814091442192676
71,ENSG00000021645.20,0.060422856724143936,-0.010590924891906384
72,ENSG00000171723.16,-0.15807172320520202,-0.1434041579843427
73,ENSG00000022267.19,0.15579443535692833,-0.038227205613846627
74,ENSG00000062370.17,0.04735507160092034,0.0748031041877481
75,ENSG00000267173.1,0.04918135898095766,0.05091023626471414
76,ENSG00000267508.6,0.04505519158177235,0.04488792455577367
77,ENSG00000278318.5,0.1304282884680561,-0.13730696050454017
78,ENSG00000114331.16,-0.19894438355573435,-0.23988944105933258
79,ENSG00000147050.18,-0.13280494659947523,-0.18370476770361788
80,ENSG00000066427.25,0.5302629137374036,0.48353403871236617
81,ENSG00000183648.11,-0.2126574696900653,-0.20975023315714153
82,ENSG00000165934.13,-0.10325852805997049,-0.10889259128943429
83,ENSG00000198033.13,0.8712698797884031,0.9090980222478416
84,ENSG00000119715.15,0.1425431840597287,0.18294680900146076
85,ENSG00000165953.10,-0.3527739266496406,-0.26694469987382374
86,ENSG00000100665.12,-0.3729000378036823,-0.29719283797703366
87,ENSG00000188488.14,0.41298644372672555,0.2050379721243587
88,ENSG00000273259.3,-0.35380328921917914,-0.2718687335259392
89,ENSG00000196136.18,-0.0034522202480708475,0.35408885304449145
90,ENSG00000126822.18,-0.09959096437088072,-0.057445335941525066
91,ENSG00000070182.21,-0.11450559167484298,-0.10994059589504784
92,ENSG00000087299.12,-0.2054936546526932,-0.14813335833048386
93,ENSG00000125375.18,-0.1989704458503021,-0.14846304038863967
94,ENSG00000100490.10,-0.027538148314768307,-0.051416716983888444
95,ENSG00000139970.18,0.24445874760266662,0.05700470206262448
96,ENSG00000140092.16,0.1076638510011767,0.1625874727588304
97,ENSG00000075711.21,-0.10166857761172954,-0.11698178151247257
98,ENSG00000100814.19,0.014325656287748345,0.11400478452309498
99,ENSG00000129484.14,0.7682697585168239,0.7518747562807462
100,ENSG00000129566.13,-0.20128551846296383,-0.1686526476643756
101,ENSG00000007047.16,-0.13625035154068033,-0.16295650841656095
102,ENSG00000104879.5,-0.3251069190420653,-0.19269418895691126
103,ENSG00000104892.17,-0.14087647807138454,-0.17021503053731352
104,ENSG00000104884.17,0.10300352135311619,0.2169480090952023
105,ENSG00000169575.5,-0.3655090942636725,-0.3011082103782622
106,ENSG00000167414.5,-0.20969354694045456,-0.1389222753991487
107,ENSG00000197380.11,0.05395889884581134,-0.004801615161678874
108,ENSG00000105287.13,-0.1877484531479508,-0.21416008929266211
109,ENSG00000090372.15,-0.2252741567310267,-0.23853836460096145
110,ENSG00000181027.11,-0.20125227996726636,-0.15523722890755742
111,ENSG00000268696.3,1.321543592448732,1.3848833470131579
112,ENSG00000197841.15,-0.20371259996290342,-0.23312993282940286
113,ENSG00000153896.19,-0.20037350545418675,-0.15612080104556386
114,ENSG00000183032.12,0.6504371694252606,0.6522263022538656
115,ENSG00000151338.21,-0.13426859257639745,-0.18841555774374924
116,ENSG00000169397.4,-0.37605465892118783,-0.2787544618714358
117,ENSG00000169385.3,-0.3593527437151595,-0.2495421092625787
118,ENSG00000165792.18,-0.05296050307743039,-0.06592924898372066
119,ENSG00000100714.18,-0.18689305196517558,-0.19540155405573445
120,ENSG00000213892.12,-0.3332037471522715,-0.27318963750962855
121,ENSG00000069399.15,-0.13556466363519337,-0.15840689290865062
122,ENSG00000142273.13,-0.04448565552587819,-0.1408884877497577
123,ENSG00000011422.12,-0.107695507700562,-0.1899268703416665
124,ENSG00000124449.7,-0.3570378809403819,-0.2994195869334389
125,ENSG00000105771.14,-0.10878075440948104,-0.1384500712464935
126,ENSG00000183484.12,-0.1370058866934455,-0.10785963826321715
127,ENSG00000184916.9,0.16070225553440182,0.05754646169664113
128,ENSG00000183828.15,0.296726542639245,0.3585957987585743
129,ENSG00000129535.13,-0.195067114482528,-0.16809978160838096
130,ENSG00000100889.12,-0.13789324872062297,-0.09701061170747266
131,ENSG00000100897.18,-0.2138084499015271,-0.20543845396271793
132,ENSG00000259371.2,-0.25002415368610553,-0.1979587443852152
133,ENSG00000139914.7,-0.3414857274769687,-0.27442339210660555
134,ENSG00000092010.15,0.26504557464380185,0.16233883251262782
135,ENSG00000100908.14,0.26520754797707535,0.3081743421563186
136,ENSG00000100911.16,-0.19657795594637917,-0.2248267426966825
137,ENSG00000092098.18,-0.22476463130711566,-0.26206500945122846
138,ENSG00000259529.2,-0.227399755375909,-0.25247223831440824
139,ENSG00000213928.10,-0.015667480154376745,0.14124756922022585
140,ENSG00000100918.14,1.4678660127270853,0.050776680120448614
141,ENSG00000196497.17,-0.17025123450590107,-0.17032432609164821
142,ENSG00000259522.3,-0.20453977409306856,-0.1839532335130747
143,ENSG00000100926.15,-0.1349351964997263,-0.08220876178555492
144,ENSG00000139908.15,-0.2677127139035287,-0.2255925500020764
145,ENSG00000213231.13,-0.20969903342750174,-0.19093795694327564
146,ENSG00000100721.11,0.6600078636120045,1.0517601671824415
147,ENSG00000187116.14,-0.33777336106533085,-0.204113025690691
148,ENSG00000239961.3,-0.3576563329007271,-0.20613720336996344
149,ENSG00000167613.16,-0.23495901658128815,0.01662994121161493
150,ENSG00000170946.15,-0.12380708354624165,-0.10044488870237772
151,ENSG00000148950.11,-0.17140365235594307,-0.21494402882148506
152,ENSG00000109911.19,-0.21244401171518829,-0.22512092965791625
153,ENSG00000104814.13,-0.14617595123442856,-0.16999114085045064
